feature,IC,p_value,MI
va_low,-0.0821,0.0,0.2652
va_high,-0.0732,0.0,0.2546
poc_volume,0.002,0.879,0.2165
poc,-0.0788,0.0,0.2112
ema50,-0.0659,0.0,0.1071
ema20,-0.0635,0.0,0.068
log_return,0.0065,0.6157,0.0145
fvg_up_active,,,0.0142
rsi,0.0813,0.0,0.011
fvg_down_active,,,0.006
poc_delta,-0.0219,0.0881,0.0057
bos_bear,-0.0107,0.4071,0.0033
bos_bull,0.0842,0.0,0.0
log_range,0.031,0.0159,0.0
volume,-0.007,0.5885,0.0
